IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE_EN_CM;HAUTEUR_EN_M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE_OU_CULTIVAR;DATEPLANTATION;REMARQUABLE;Geo_point
136448.0;Catalpa;Catalpa;speciosa;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;30003;200.0;3.0;Mature;Inconnue;''Pulverulenta'';1699-12-31T20:15:33-03:54;OUI;48.84758185,2.25327790355
120530.0;Oranger des Osages;Maclura;pomifera;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Talus Ronsard;;601010;212.0;16.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8856691828,2.3447140694
114779.0;Noisetier de Byzance;Corylus;colurna;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 15 - 27 à 29;;000105001 / 16-25;204.0;14.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8727963278,2.2875405986
2002350.0;Sequoia;Sequoiadendron;giganteum;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-22;;701002;511.0;28.0;Adulte;Inconnue;;1849-12-31T20:15:33-03:54;OUI;48.869458282,2.24771343792
121945.0;Platane;Platanus;x hispanica;SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA;Arbre;Jardin;PARIS 20E ARRDT;20/mai;;202004;500.0;28.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8656217619,2.39994114274
2002376.0;Chêne;Quercus;robur;LAC DES MINIMES - ROUTE RONDE DES MINIMES;Arbre;Jardin;BOIS DE VINCENNES;dez/25;;dez/25;428.0;30.0;Mature;Inconnue;;1783-12-31T20:15:33-03:54;OUI;48.8341740278,2.4613206192
108256.0;Noisetier de Byzance;Corylus;colurna;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;Arbre;Jardin;PARIS 16E ARRDT;Canton 09;;906007;263.0;20.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8615946163,2.29103626939
2002392.0;Pterocarya;Pterocarya;fraxinifolia;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16/fev;;101004;407.0;27.0;Mature;Inconnue;;1881-12-31T20:15:33-03:54;OUI;48.8631730613,2.26173856394
116216.0;Cèdre;Cedrus;libani;SQUARE DE L ASPIRAND DUNAND / 20 RUE SAILLARD;Arbre;Jardin;PARIS 14E ARRDT;;;10030016;155.0;20.0;Adulte;Inconnue;;1995-12-31T22:00:00-03:00;OUI;48.8319997987,2.32583007025
2002362.0;If;Taxus;baccata;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12/ago;;12/ago;105.0;5.0;Adulte;Inconnue;;1869-12-31T20:15:33-03:54;OUI;48.8320775848,2.41181713566
106714.0;Plaqueminier;Diospyros;lotus;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;;P00905009;163.0;13.0;Adulte;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8557930159,2.30026431836
112503.0;Marronnier;Aesculus;hippocastanum;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Place Saint-Pierre;;105002;366.0;21.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8844716029,2.34310775907
